epoch,overflow,main,assigned_slots,ok,skipped,invalid,delayed,penalty_score,effective_stake,stake_share_pct,delivered_slots_share_pct,bad_slots_abs,bad_slots_pct_node
0,NODE1,NODE1,2400,2400,0,0,0,0.0,100.0,100.0,100.0,0,0.0
0,NODE2,NODE2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
0,NODE3,NODE3,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
1,NODE1,NODE1,2400,2400,0,0,0,0.0,100.24,100.0,100.0,0,0.0
1,NODE2,NODE2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
1,NODE3,NODE3,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
2,NODE1,NODE1,2400,2400,0,0,0,0.0,100.47999999999999,100.0,100.0,0,0.0
2,NODE2,NODE2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
2,NODE3,NODE3,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
3,NODE1,NODE1,2400,2400,0,0,0,0.0,100.71999999999998,100.0,100.0,0,0.0
3,NODE2,NODE2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
3,NODE3,NODE3,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
4,NODE1,NODE1,2400,2400,0,0,0,0.0,100.95999999999998,100.0,100.0,0,0.0
4,NODE2,NODE2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
4,NODE3,NODE3,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
5,NODE1,NODE1,485,485,0,0,0,0.0,101.19999999999997,20.19,20.21,0,0.0
5,NODE2,NODE2,718,718,0,0,0,0.0,150.0,29.93,29.92,0,0.0
5,NODE3,NODE3,1197,1197,0,0,0,0.0,250.0,49.88,49.88,0,0.0
6,NODE1,NODE1,485,485,0,0,0,0.0,101.24849999999998,20.19,20.21,0,0.0
6,NODE2,NODE2,718,718,0,0,0,0.0,150.0718,29.93,29.92,0,0.0
6,NODE3,NODE3,1197,1197,0,0,0,0.0,250.1197,49.88,49.88,0,0.0
7,NODE1,NODE1,485,485,0,0,0,0.0,101.29699999999998,20.19,20.21,0,0.0
7,NODE2,NODE2,718,718,0,0,0,0.0,150.1436,29.93,29.92,0,0.0
7,NODE3,NODE3,1197,1197,0,0,0,0.0,250.2394,49.88,49.88,0,0.0
8,NODE1,NODE1,485,485,0,0,0,0.0,101.34549999999999,20.19,20.21,0,0.0
8,NODE2,NODE2,718,718,0,0,0,0.0,150.2154,29.93,29.92,0,0.0
8,NODE3,NODE3,1197,1197,0,0,0,0.0,250.35909999999998,49.88,49.88,0,0.0
9,NODE1,NODE1,485,485,0,0,0,0.0,101.39399999999999,20.19,20.21,0,0.0
9,NODE2,NODE2,718,718,0,0,0,0.0,150.28719999999998,29.93,29.92,0,0.0
9,NODE3,NODE3,1197,1197,0,0,0,0.0,250.47879999999998,49.88,49.88,0,0.0
10,NODE1,NODE1,485,485,0,0,0,0.0,101.4425,20.19,20.21,0,0.0
10,NODE2,NODE2,718,718,0,0,0,0.0,150.35899999999998,29.93,29.92,0,0.0
10,NODE3,NODE3,1197,1197,0,0,0,0.0,250.59849999999997,49.88,49.88,0,0.0
11,NODE1,NODE1,485,485,0,0,0,0.0,101.491,20.19,20.21,0,0.0
11,NODE2,NODE2,718,718,0,0,0,0.0,150.43079999999998,29.93,29.92,0,0.0
11,NODE3,NODE3,1197,1197,0,0,0,0.0,250.71819999999997,49.88,49.88,0,0.0
12,NODE1,NODE1,485,485,0,0,0,0.0,101.5395,20.19,20.21,0,0.0
12,NODE2,NODE2,718,718,0,0,0,0.0,150.50259999999997,29.93,29.92,0,0.0
12,NODE3,NODE3,1197,1197,0,0,0,0.0,250.83789999999996,49.88,49.88,0,0.0
13,NODE1,NODE1,485,485,0,0,0,0.0,101.58800000000001,20.19,20.21,0,0.0
13,NODE2,NODE2,718,718,0,0,0,0.0,150.57439999999997,29.93,29.92,0,0.0
13,NODE3,NODE3,1197,1197,0,0,0,0.0,250.95759999999996,49.88,49.88,0,0.0
14,NODE1,NODE1,485,485,0,0,0,0.0,101.63650000000001,20.19,20.21,0,0.0
14,NODE2,NODE2,718,718,0,0,0,0.0,150.64619999999996,29.93,29.92,0,0.0
14,NODE3,NODE3,1197,1197,0,0,0,0.0,251.07729999999995,49.88,49.88,0,0.0
15,NODE1,NODE1,485,485,0,0,0,0.0,101.68500000000002,20.19,20.21,0,0.0
15,NODE2,NODE2,718,718,0,0,0,0.0,150.71799999999996,29.93,29.92,0,0.0
15,NODE3,NODE3,1197,1197,0,0,0,0.0,251.19699999999995,49.88,49.88,0,0.0
16,NODE1,NODE1,485,485,0,0,0,0.0,101.73350000000002,20.19,20.21,0,0.0
16,NODE2,NODE2,718,718,0,0,0,0.0,150.78979999999996,29.93,29.92,0,0.0
16,NODE3,NODE3,1197,1197,0,0,0,0.0,251.31669999999994,49.88,49.88,0,0.0
17,NODE1,NODE1,485,485,0,0,0,0.0,101.78200000000002,20.19,20.21,0,0.0
17,NODE2,NODE2,718,718,0,0,0,0.0,150.86159999999995,29.93,29.92,0,0.0
17,NODE3,NODE3,1197,1197,0,0,0,0.0,251.43639999999994,49.88,49.88,0,0.0
18,NODE1,NODE1,485,485,0,0,0,0.0,101.83050000000003,20.19,20.21,0,0.0
18,NODE2,NODE2,718,718,0,0,0,0.0,150.93339999999995,29.93,29.92,0,0.0
18,NODE3,NODE3,1197,1197,0,0,0,0.0,251.55609999999993,49.88,49.88,0,0.0
19,NODE1,NODE1,485,485,0,0,0,0.0,101.87900000000003,20.19,20.21,0,0.0
19,NODE2,NODE2,718,718,0,0,0,0.0,151.00519999999995,29.93,29.92,0,0.0
19,NODE3,NODE3,1197,1197,0,0,0,0.0,251.67579999999992,49.88,49.88,0,0.0
