epoch,overflow,main,assigned_slots,share_assigned_slots,ok,skipped,invalid,delayed,bad_slots_abs,bad_slots_pct_node,effective_stake,stake_share_pct,effective_stake_next,stake_share_next_pct,delivered_slots_share_pct,coinbase_epoch_tkg,fees_epoch_tkr_at_main,reward_epoch_total_value_tkg_only,coinbase_cum_tkg,fees_cum_tkr_at_main,penalty_slots_residual,penalty_score,forced_invalid_slots_planned,forced_invalid_slots_realized,forced_invalid_share_pct_of_invalid,penalty_gained,penalty_recovery,penalty_tol,residual_prev_dbg,residual_next_dbg,ok_rate,scenario,assigned_share,malicious_i,post_t,interaction,time_since_switch
0,OV_1,MAIN_1,9470,39.458,9470,0,0,0,0,0.0,400.0,40.0,400.9469999997623,39.9987,39.4583,0.947,0.0,0.947,0.947,0.0,0,0.0,0,0,0.0,0.0,9470.0,1894.0,0.0,0.0,1.0,2,0.39458333333333334,1,0,0,0
0,OV_2,MAIN_2,7285,30.354,7285,0,0,0,0,0.0,300.0,30.0,300.7284999998172,30.0008,30.3542,0.7285,0.0,0.7285,0.7285,0.0,0,0.0,0,0,0.0,0.0,7285.0,1457.0,0.0,0.0,1.0,2,0.30354166666666665,0,0,0,0
0,OV_3,MAIN_3,7245,30.188,7245,0,0,0,0,0.0,300.0,30.0,300.72449999981814,30.0004,30.1875,0.7245,0.0,0.7245,0.7245,0.0,0,0.0,0,0,0.0,0.0,7245.0,1449.0,0.0,0.0,1.0,2,0.301875,0,0,0,0
1,OV_1,MAIN_1,9564,39.85,7173,0,2391,0,2391,25.0,400.9469999997623,39.9987,6.126199954237508,1.0059,29.8875,0.7173,0.0003,0.7173,1.6643,0.0003,12913,64.565,2391,2391,100.0,20086.0,7173.0,1912.0,0.0,12913.0,0.75,2,0.3985,1,0,0,0
1,OV_2,MAIN_2,7261,30.254,7261,0,0,0,0,0.0,300.7284999998172,30.0008,301.45459999963487,49.4981,30.2542,0.7261,0.0002,0.7261,1.4546,0.0002,0,0.0,0,0,0.0,0.0,7261.0,1452.0,0.0,0.0,1.0,2,0.30254166666666665,0,0,0,0
1,OV_3,MAIN_3,7175,29.896,7175,0,0,0,0,0.0,300.72449999981814,30.0004,301.441999999638,49.496,29.8958,0.7175,0.0003,0.7175,1.442,0.0003,0,0.0,0,0,0.0,0.0,7175.0,1435.0,0.0,0.0,1.0,2,0.2989583333333333,0,0,0,0
2,OV_1,MAIN_1,240,1.0,180,0,60,0,60,25.0,6.126199954237508,1.0059,5.978749720913562,0.9781,0.75,0.018,0.0,0.018,1.6823,0.0003,13237,66.185,60,60,100.0,504.0,180.0,48.0,12913.0,13237.0,0.75,2,0.01,1,0,0,0
2,OV_2,MAIN_2,11886,49.525,11886,0,0,0,0,0.0,301.45459999963487,49.4981,302.6431999993365,49.5121,49.525,1.1886,0.0026,1.1886,2.6432,0.0028,0,0.0,0,0,0.0,0.0,11886.0,2377.0,0.0,0.0,1.0,2,0.49525,0,0,0,0
2,OV_3,MAIN_3,11874,49.475,11874,0,0,0,0,0.0,301.441999999638,49.496,302.62939999934,49.5098,49.475,1.1874,0.0019,1.1874,2.6294,0.0022,0,0.0,0,0,0.0,0.0,11874.0,2374.0,0.0,0.0,1.0,2,0.49475,0,0,0,0
3,OV_1,MAIN_1,234,0.975,176,0,58,0,58,24.79,5.978749720913562,0.9781,5.843332606001503,0.9525,0.7333,0.0176,0.0,0.0176,1.6999,0.0003,13549,67.745,58,58,100.0,488.0,176.0,46.0,13237.0,13549.0,0.7521367521367521,2,0.00975,1,0,0,0
